algo,no,precision,dm,cm,entropy,discern,ilm,lr_acc,auroc,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse
datafly,1,0.01666666666666661,0.085,0.3828378378378378,0.9612143568660568,0.6638508765522279,0.045890736130867714,0.5452702702702703,0.6176625829169224,0.4957945036047083,0.0,0.25,0.0506331081081081,0.04604811522048364,0.11583124323188244
datafly_shuffled,1,0.03333333333333344,0.0875,0.3601351351351351,0.9592216451298162,0.13469850255661067,0.04807480440967282,0.6148648648648649,0.5955608398351889,0.4957945036047083,0.0,0.05,0.0592125,0.0459055120910384,0.11969828482022295
mondrian,1,0.4052074898785425,0.6025,0.23243243243243245,0.8332171105558117,0.00033524470416362314,0.04644210526315783,0.5763513513513514,0.7249989041816428,0.4954992342145895,0.005067967719677234,0.0005032712632108706,0.0008944037171620568,0.036465487197724036,0.1284239643392901
datafly,2,0.033310810810810776,0.08,0.3974324324324324,0.9767964391487904,0.5403244338933528,0.046487908961593175,0.5682432432432433,0.5795609786388476,0.4940209269021612,0.12325537691896782,0.07692307692307693,0.11102128378378376,0.04648790896159317,0.11400656514005544
datafly_shuffled,2,0.025027027027027082,0.0325,0.4337837837837838,0.9724641373616644,0.33620588020452885,0.04945368065433855,0.5155405405405405,0.5479457058531312,0.4957945036047083,0.0,0.2,0.2683783783783783,0.04807467994310099,0.11642997184652408
mondrian,2,0.4106846208556736,0.5875,0.23540540540540544,0.8191101324090374,0.0005295471146822498,0.04599512802275962,0.6094594594594595,0.7222666637444843,0.5014210321090208,0.005020337179855973,0.0005076142131979697,0.0005318435852434857,0.035751440256045514,0.1256043394426722
datafly,3,0.01666666666666661,0.03,0.4258108108108108,0.9922774428794264,0.8651150840029218,0.04837379089615931,0.5675675675675675,0.5721925133689839,0.4957945036047083,0.0,0.2,0.3820405405405405,0.048373790896159306,0.1144457345221868
datafly_shuffled,3,0.033333333333333215,0.05,0.38972972972972975,0.940803661405976,0.09620504017531044,0.048418634423897586,0.5304054054054054,0.6418226381461676,0.4957945036047083,0.0014593462875410802,0.05,0.061393581081081075,0.04604098506401137,0.11745276922399275
mondrian,3,0.4052074898785425,0.585,0.26675675675675675,0.8265905754491416,0.0007156683710737762,0.0461563477951636,0.597972972972973,0.7067261330761813,0.4961080632681743,0.005163322072563797,0.0006849315068493152,0.0007088249649086742,0.035925942389758166,0.12498388514286653
datafly,4,0.041960585585585686,0.0875,0.31283783783783786,0.9574370758703716,0.23976972242512784,0.045853805120910376,0.5804054054054054,0.7171373206510622,0.4957945036047083,0.1241434523128046,0.052631578947368425,0.04521520270270271,0.04585380512091038,0.11181212871936742
datafly_shuffled,4,0.05000000000000005,0.09,0.33959459459459457,0.9118940104629524,0.03359167275383492,0.04783433499288765,0.6162162162162163,0.6895172189591187,0.494742993147685,0.003046843675383984,0.0125,0.017529493243243245,0.044154978662873386,0.11927563261743075
mondrian,4,0.4390019969362078,0.6825,0.20094594594594595,0.8079071554237749,0.00033360116873630384,0.04626532716927456,0.5168918918918919,0.8012715145670786,0.4960023016984893,0.004840201874876666,0.00032030749519538755,0.000327135888582368,0.03419329658605974,0.11906282204371478
datafly,5,0.016666666666666833,0.03,0.4174324324324325,0.991834438591605,0.8428318115412711,0.048260544096728315,0.5831081081081081,0.5877887481371088,0.4957945036047083,1.1102230246251563e-16,0.25,0.3390067567567568,0.04826054409672829,0.11309405233832713
datafly_shuffled,5,0.03333333333333344,0.065,0.35702702702702704,0.9620578071010604,0.2917910518626735,0.04846655405405406,0.5486486486486486,0.6862781625317788,0.4957945036047083,0.0013786549822305124,0.0625,0.10805270270270267,0.046477773826458034,0.11733323865227553
mondrian,5,0.4094492194623775,0.595,0.2664864864864865,0.8280272804477822,0.0007123447772096421,0.0466961237553343,0.6087837837837838,0.7633817685047193,0.4959447163970012,0.006243967599304949,0.0006825938566552901,0.0007150514387297293,0.03602839615931721,0.12514871431509828
datafly,6,0.01666666666666661,0.03,0.3593243243243243,0.9838803052874416,0.6239429145361578,0.048055743243243236,0.6148648648648649,0.6185355848747844,0.4976367379802792,0.0,0.25,0.26118243243243244,0.048055743243243236,0.11346450571758687
datafly_shuffled,6,0.04172972972972977,0.0875,0.3271621621621621,0.949699876385214,0.16508593864134405,0.04889254978662873,0.6317567567567568,0.6666091362029164,0.4940209269021612,0.1214997451602583,0.05263157894736842,0.07886824324324324,0.046245376955903264,0.11656925170578515
mondrian,6,0.4220030729109675,0.6175,0.2404054054054054,0.8207905093238236,0.0005253104455807158,0.04685464082503565,0.5851351351351352,0.7341782092866953,0.4899976131209331,0.005057537989048496,0.0005035246727089627,0.0005144635465353651,0.035048595305832146,0.12717793974165809
datafly,7,0.033324324324324306,0.08,0.3855405405405405,0.9620772306572852,0.24895956902848795,0.04612951635846373,0.5364864864864864,0.676661443265831,0.4950122151071168,0.12298539484444468,0.06666666666666668,0.07004493243243244,0.04612951635846372,0.11404955822347923
